kode;nama
11;ACEH
11.01;KAB. ACEH SELATAN
11.01.01;Bakongan
11.01.01.2001;Keude Bakongan
11.01.01.2002;Ujong Mangki
11.01.01.2003;Ujong Padang
11.01.01.2004;Gampong Drien
11.01.01.2015;Darul Ikhsan
11.01.01.2016;Padang Beurahan
11.01.01.2017;Gampong Baro
11.01.02;Kluet Utara
11.01.02.2001;Fajar Harapan
11.01.02.2002;Krueng Batee
11.01.02.2003;Pasi Kuala Asahan
11.01.02.2004;Gunung Pulo
11.01.02.2005;Pulo Ie I
11.01.02.2006;Jambo Manyang
11.01.02.2007;Simpang Empat
11.01.02.2008;Limau Purut
11.01.02.2009;Pulo Kambing
11.01.02.2010;Kampung Paya
11.01.02.2011;Krueng Batu
11.01.02.2012;Krueng Kluet
11.01.02.2013;Alur Mas
11.01.02.2014;Kampung Tinggi
11.01.02.2015;Ruak
11.01.02.2016;Simpang Lhee
11.01.02.2017;Suaq Geuringgeng
11.01.02.2018;Pasi Kuala Ba'u
11.01.02.2019;Kedai Padang
11.01.02.2020;Kotafajar
11.01.02.2021;Gunung Pudung
11.01.03;Kluet Selatan
11.01.03.2001;Suaq Bakung
11.01.03.2002;Rantau Binuang
11.01.03.2003;Barat Daya
11.01.03.2004;Sialang
11.01.03.2005;Kapeh
11.01.03.2006;Pulo Ie
11.01.03.2007;Kedai Runding
11.01.03.2008;Kedai Kandang
11.01.03.2009;Gampong Luar
11.01.03.2010;Ujung
11.01.03.2011;Jua
11.01.03.2012;Pasi Meurapat
11.01.03.2013;Ujung Pasir
11.01.03.2014;Geulumbuk
11.01.03.2015;Pasie Lembang
11.01.03.2016;Ujung Padang
11.01.03.2017;Indra Damai
11.01.04;Labuhan Haji
11.01.04.2001;Bakau Hulu
11.01.04.2002;Padang Bakau
11.01.04.2003;Manggis Harapan
11.01.04.2004;Pasar Lama
11.01.04.2005;Apha
11.01.04.2006;Ujung Batu
11.01.04.2007;Pawoh
11.01.04.2008;Dalam
11.01.04.2009;Kota Palak
11.01.04.2010;Cacang
11.01.04.2011;Tengah Pisang
11.01.04.2012;Pisang
11.01.04.2013;Hulu Pisang
11.01.04.2014;Tengah Baru
11.01.04.2015;Lembah Baru
11.01.04.2016;Padang Baru
11.01.05;Meukek
11.01.05.2001;Kuta Buloh II
11.01.05.2002;Kuta Buloh I
11.01.05.2003;Ie Dingen
11.01.05.2004;Drien Jalo
11.01.05.2005;Jambo Papeun
11.01.05.2006;Buket Meuh
11.01.05.2007;Blang Kuala
11.01.05.2008;Rot Teungoh
11.01.05.2009;Alue Baro
11.01.05.2010;Ladang Tuha
11.01.05.2011;Lhok Mamplam
11.01.05.2012;Arun Tunggai
11.01.05.2013;Blang Teungoh
11.01.05.2014;Blang Bladeh
11.01.05.2015;Ie Buboh
11.01.05.2016;Keude Meukek
11.01.05.2017;Kuta Baro
11.01.05.2018;Tanjung Harapan
